year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
1972  (45th);Cabaret;http://oscars.yipitdata.com/films/Cabaret_(1972_film);Cy Feuer;Allied Artists, ABC Pictures;http://en.wikipedia.org/wiki/Cabaret_(1972_film);False; ABC Pictures  Allied Artists ;   February 13, 1972 ( 1972-02-13 )       ;124 minutes;$2,285,000 [ 1 ];Geoffrey Unsworth;United States;Bob Fosse;Allied Artists;David Bretherton;English German;Songs:  John Kander  Fred Ebb  (Lyrics)  Adaptation score:  Ralph Burns;Cy Feuer;Jay Allen;   Liza Minnelli  Michael York  Helmut Griem  Marisa Berenson  Joel Grey   ;;Cabaret;;281;   Cabaret  Book by Joe Masteroff  Music by John Kander  Lyrics by Fred Ebb  I Am a Camera  by John Van Druten  The Berlin Stories  by Christopher Isherwood   ;$42,765,000 [ 2 ];;
1972  (45th);Deliverance;http://oscars.yipitdata.com/films/Deliverance;John Boorman;Warner Bros.;http://en.wikipedia.org/wiki/Deliverance;False; Elmer Productions ;   July 30, 1972 ( 1972-07-30 )       ;110 minutes;$2 million;Vilmos Zsigmond;United States;John Boorman;Warner Bros.;Tom Priestley;English;;John Boorman;James Dickey  Uncredited: John Boorman;Jon Voight  Burt Reynolds  Ned Beatty  Ronny Cox;;Deliverance;;282;Deliverance  by James Dickey;$46.1 million [ 1 ];;
1972  (45th);The Emigrants [K];http://oscars.yipitdata.com/films/The_Emigrants_(film);Bengt Forslund;Warner Bros., Svensk Filmindustri;http://en.wikipedia.org/wiki/The_Emigrants_(film);False; Svensk Filmindustri ;   8 March 1971 ( 1971-03-08 )       ;191 minutes;$1.6 million;;Sweden;Jan Troell;Warner Bros. (U.S.);;Swedish;;Bengt Forslund;;Max von Sydow  Liv Ullmann  Eddie Axberg  Monica Zetterlund;;The Emigrants [K];Bengt Forslund  Jan Troell;283;;;;
1972  (45th);Sounder;http://oscars.yipitdata.com/films/Sounder_(film);Robert B. Radnitz;20th Century Fox;http://en.wikipedia.org/wiki/Sounder_(film);False; Radnitz/Mattel Productions ;   September 24, 1972 ( 1972-09-24 )       ;105 minutes;$900,000 [ 3 ];John A. Alonzo;United States;Martin Ritt;20th Century Fox [ 1 ]  Paramount Home Video [ 2 ]  (original home video release);;English;Taj Mahal;Robert B. Radnitz;;Cicely Tyson  Paul Winfield  Kevin Hooks  Carmen Mathews  Taj Mahal;;Sounder;Lonne Elder III;284;Sounder 1969 novel by William H. Armstrong;$16,889,761 [ 4 ];;
1973  (46th);The Sting;http://oscars.yipitdata.com/films/The_Sting;Tony Bill , Michael Phillips , Julia Phillips;Universal;http://en.wikipedia.org/wiki/The_Sting;True;;   December 25, 1973 ( 1973-12-25 )       ;129 minutes;$5.5 million [ 1 ];Robert Surtees;United States;George Roy Hill;Universal Pictures;William Reynolds;English;Marvin Hamlisch;Tony Bill  Michael Phillips  Julia Phillips;;Paul Newman  Robert Redford  Robert Shaw;;The Sting;David S. Ward;285;;$159.6 million [ 1 ];;
1973  (46th);American Graffiti;http://oscars.yipitdata.com/films/American_Graffiti;Francis Ford Coppola , Gary Kurtz;Lucasfilm , Universal, Coppola Co.;http://en.wikipedia.org/wiki/American_Graffiti;False;;   August 2, 1973 ( 1973-08-02 )  ( Locarno )  August 11, 1973 ( 1973-08-11 )  (United States)      ;112 minutes;$777,000 [ 1 ];   Ron Eveslage  Jan D'Alquen   ;United States;George Lucas;Universal Pictures;   Verna Fields  Marcia Lucas   ;English;;Francis Ford Coppola;;   Richard Dreyfuss  Ron Howard  Paul Le Mat  Charlie Martin Smith  Candy Clark  Mackenzie Phillips  Cindy Williams  Wolfman Jack   ;;American Graffiti;   George Lucas  Gloria Katz  Willard Huyck   ;286;;$140 million [ 1 ];;    Lucasfilm Ltd  Coppola Company    
1973  (46th);Cries and Whispers [K];http://oscars.yipitdata.com/films/Cries_and_Whispers;Ingmar Bergman;Cinematograph, Svenska Filminstitutet;http://en.wikipedia.org/wiki/Cries_and_Whispers;False; Svensk Filmindustri ;   21 December 1972 ( 1972-12-21 )  (United States)  5 March 1973 ( 1973-03-05 )  (Sweden)      ;91 minutes;$400,000;Sven Nykvist;Sweden;Ingmar Bergman;New World Pictures;Siv Lundgren;Swedish;Johann Sebastian Bach  Frédéric Chopin;Lars-Owe Carlberg;;Harriet Andersson  Kari Sylwan  Ingrid Thulin  Liv Ullmann  Inga Gill  Erland Josephson;;Cries and Whispers [K];Ingmar Bergman;287;;SEK 2,130,705 (Sweden) $1.5 million (US) [ 1 ];Ingmar Bergman;
1973  (46th);The Exorcist;http://oscars.yipitdata.com/films/The_Exorcist_(film);William Peter Blatty;Warner Bros.;http://en.wikipedia.org/wiki/The_Exorcist_(film);False; Hoya Productions ;   December 26, 1973 ( 1973-12-26 )        [ 1 ];122 minutes;$12 million [ 2 ];Owen Roizman;United States;William Friedkin;Warner Bros.;   Jordan Leondopoulos  Evan Lottman  Norman Gay   ;English;;William Peter Blatty;William Peter Blatty;   Ellen Burstyn  Max von Sydow  Lee J. Cobb  Kitty Winn  Jack MacGowran  Jason Miller  Linda Blair   ;;The Exorcist;;288;The Exorcist  by William Peter Blatty;$402.7–441.3 million [ 2 ] [ 3 ];;
1973  (46th);A Touch of Class;http://oscars.yipitdata.com/films/A_Touch_of_Class_(film);Melvin Frank;Avco Embassy, Gordon Film Productions;http://en.wikipedia.org/wiki/A_Touch_of_Class_(film);False; Brut Productions ;June 20, 1973;106 min.;;Austin Dempster;United Kingdom;Melvin Frank;AVCO;;;John Cameron;Melvin Frank;;George Segal  Glenda Jackson  Paul Sorvino  Hildegarde Neil  Mary Barclay;;A Touch of Class;Melvin Frank  Jack Rose;289;;$16,800,000 [ 1 ];;
1974  (47th);The Godfather Part II  [O];http://oscars.yipitdata.com/films/The_Godfather_Part_II;Francis Ford Coppola , Gray Frederickson , Fred Roos;Paramount;http://en.wikipedia.org/wiki/The_Godfather_Part_II;True; Coppola Company ;   December 12, 1974 ( 1974-12-12 )  (New York City)  December 20, 1974 ( 1974-12-20 )  (United States)      ;200 minutes [ 1 ];$13 million [ 2 ] [ 3 ];Gordon Willis;United States;Francis Ford Coppola;Paramount Pictures;   Peter Zinner  Barry Malkin  Richard Marks   ;   English  Sicilian   ;Nino Rota;Francis Ford Coppola;   Francis Ford Coppola  Mario Puzo   ;   Al Pacino  Robert Duvall  Diane Keaton  Robert De Niro  Talia Shire  Morgana King  John Cazale  Marianna Hill  Lee Strasberg   ;;The Godfather Part II  [O];;290;The Godfather  by Mario Puzo;$47.5–57.3 million (North America) [ 2 ] [ 3 ];;
1974  (47th);Chinatown;http://oscars.yipitdata.com/films/Chinatown_(1974_film);Robert Evans;Paramount;http://en.wikipedia.org/wiki/Chinatown_(1974_film);False;;   June 20, 1974 ( 1974-06-20 )       ;131 minutes [ 1 ];$6 million [ 2 ];John A. Alonzo;United States;Roman Polanski;Paramount Pictures;Sam O'Steen;English;Jerry Goldsmith;Robert Evans;;   Jack Nicholson  Faye Dunaway  John Hillerman  Perry Lopez  Burt Young  John Huston   ;;Chinatown;Robert Towne;291;;$29.2 million (North America) [ 3 ];;
1974  (47th);The Conversation;http://oscars.yipitdata.com/films/The_Conversation;Francis Ford Coppola;Paramount, Coppola Co.;http://en.wikipedia.org/wiki/The_Conversation;False; American Zoetrope  The Directors Company The Coppola Company ;   April 7, 1974 ( 1974-04-07 )  (New York City)       ;113 minutes;$1.6 million;Bill Butler;United States;Francis Ford Coppola;Paramount Pictures;Richard Chew  Walter Murch;English;David Shire;Francis Ford Coppola;;Gene Hackman  John Cazale  Allen Garfield  Michael Higgins  Cindy Williams  Frederic Forrest  Harrison Ford  Robert Duvall;;The Conversation;Francis Ford Coppola;292;;$4.4 million;;
1974  (47th);Lenny;http://oscars.yipitdata.com/films/Lenny_(film);Marvin Worth;United Artists;http://en.wikipedia.org/wiki/Lenny_(film);False;;   November 10, 1974 ( 1974-11-10 )       ;111 minutes;;Bruce Surtees;United States;Bob Fosse;United Artists (1974, original) MGM (2003, DVD)  Twilight Time (under license from MGM) (2015, Blu-Ray DVD);Alan Heim;English;Ralph Burns;Marvin Worth;;Dustin Hoffman  Valerie Perrine;;Lenny;Julian Barry;293;;$11,622,000 (rentals) [ 1 ];;
1974  (47th);The Towering Inferno;http://oscars.yipitdata.com/films/The_Towering_Inferno;Irwin Allen;20th Century Fox, Warner Bros.;http://en.wikipedia.org/wiki/The_Towering_Inferno;False; 20th Century Fox  Warner Bros. Irwin Allen Productions United Films ;December 14, 1974;165 minutes;$14.3 million [ 1 ];Fred J. Koenekamp;United States;John Guillermin;USA :  20th Century Fox  ( 21st Century Fox )  International :  Warner Bros.  ( Time Warner );Carl Kress  Harold F. Kress;English;John Williams;Irwin Allen;Stirling Silliphant;Steve McQueen  Paul Newman  William Holden  Faye Dunaway  Fred Astaire  Susan Blakely  Richard Chamberlain  Jennifer Jones  O. J. Simpson  Robert Vaughn  Robert Wagner;;The Towering Inferno;;294;The Tower by Richard Martin Stern and The Glass Inferno by  Thomas N. Scortia  Frank M. Robinson;$139.7 million [ 2 ];;
1975  (48th);One Flew Over the Cuckoo's Nest;http://oscars.yipitdata.com/films/One_Flew_Over_the_Cuckoo%2527s_Nest_(film);Saul Zaentz [N] , Michael Douglas;United Artists;http://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film);True;;   November 19, 1975 ( 1975-11-19 )       ;133 minutes;$3 million [ 3 ];Haskell Wexler  Bill Butler [ 1 ];United States;Miloš Forman;United Artists;Richard Chew [ 2 ]  Sheldon Kahn Lynzee Klingman;English;Jack Nitzsche;Saul Zaentz  Michael Douglas;Lawrence Hauben  Bo Goldman;Jack Nicholson  Louise Fletcher;;One Flew Over the Cuckoo's Nest;;295;One Flew Over the Cuckoo's Nest  by Ken Kesey;$109 million [ 3 ];;
1975  (48th);Barry Lyndon;http://oscars.yipitdata.com/films/Barry_Lyndon;Stanley Kubrick;Warner Bros., Peregrine Productions, Hawk Films;http://en.wikipedia.org/wiki/Barry_Lyndon;False; Hawk Films Peregrine Productions ;   18 December 1975 ( 1975-12-18 )       ;187 minutes [ 1 ];$11 million;John Alcott;United Kingdom United States;Stanley Kubrick;Warner Bros.;Tony Lawson;English;Leonard Rosenman (conductor and adaptor);Stanley Kubrick;Stanley Kubrick;Ryan O'Neal  Marisa Berenson  Patrick Magee  Hardy Krüger  Diana Koerner  Gay Hamilton;;Barry Lyndon;;296;The Luck of Barry Lyndon  by William Makepeace Thackeray;United States: $20,000,000 [ 2 ]  Worldwide: $31,500,000;Michael Hordern;
1975  (48th);Dog Day Afternoon;http://oscars.yipitdata.com/films/Dog_Day_Afternoon;Martin Bregman, Martin Elfand;Warner Bros.;http://en.wikipedia.org/wiki/Dog_Day_Afternoon;False; Artists Entertainment Complex ;   September 20, 1975 ( 1975-09-20 )  ( San Sebastián )  September 21, 1975 ( 1975-09-21 )  (United States)      ;125 minutes;$1.8 million;Victor J. Kemper;United States;Sidney Lumet;Warner Bros.;Dede Allen;English;;   Martin Bregman  Martin Elfand   ;Frank Pierson;   Al Pacino  John Cazale  James Broderick  Charles Durning   ;;Dog Day Afternoon;;297;"""The Boys in the Bank"" by P. F. Kluge Thomas Moore";$50 million (North America) [ 1 ];;
1975  (48th);Jaws;http://oscars.yipitdata.com/films/Jaws_(film);Richard D. Zanuck and David Brown;Universal;http://en.wikipedia.org/wiki/Jaws_(film);False;;   June 20, 1975 ( 1975-06-20 )       ;124 minutes [ 1 ];$9 million;Bill Butler;United States;Steven Spielberg;Universal Pictures;Verna Fields;English;John Williams;   Richard D. Zanuck  David Brown   ;   Peter Benchley  Carl Gottlieb   ;   Roy Scheider  Robert Shaw  Richard Dreyfuss  Lorraine Gary  Murray Hamilton   ;;Jaws;;298;Jaws  by Peter Benchley;$470.7 million;;
1975  (48th);Nashville;http://oscars.yipitdata.com/films/Nashville_(film);Robert Altman;Paramount;http://en.wikipedia.org/wiki/Nashville_(film);False; ABC Entertainment ;   June 11, 1975 ( 1975-06-11 )       ;160 minutes;$2.2 million;Paul Lohmann;United States;Robert Altman;Paramount Pictures;Dennis M. Hill Sidney Levin;English;Richard Baskin;Robert Altman;;Ned Beatty  Ronee Blakley  Keith Carradine  Geraldine Chaplin  Henry Gibson  Michael Murphy  Lily Tomlin;;Nashville;Joan Tewkesbury;299;;$9,984,123 [ 1 ];;
1976  (49th);Rocky;http://oscars.yipitdata.com/films/Rocky;Irwin Winkler , Robert Chartoff;United Artists;http://en.wikipedia.org/wiki/Rocky;True;;   November 21, 1976 ( 1976-11-21 )  ( New York City premiere)  December 3, 1976 ( 1976-12-03 )  (United States)      ;119 minutes [ 1 ];$1.1 million;James Crabe;United States;John G. Avildsen;United Artists;Richard Halsey;English;Bill Conti;   Irwin Winkler  Robert Chartoff   ;;   Sylvester Stallone  Talia Shire  Burt Young  Carl Weathers  Burgess Meredith   ;;Rocky;Sylvester Stallone;300;;$225 million;;
1976  (49th);All the President's Men;http://oscars.yipitdata.com/films/All_the_President%2527s_Men_(film);Walter Coblenz;Warner Bros.;http://en.wikipedia.org/wiki/All_the_President%27s_Men_(film);False; Wildwood Enterprises ;   April 9, 1976 ( 1976-04-09 )       ;138 minutes;$8.5 million;Gordon Willis;United States;Alan J. Pakula;Warner Bros.;Robert L. Wolfe;English;David Shire;Walter Coblenz;William Goldman;Robert Redford  Dustin Hoffman  Jack Warden  Martin Balsam  Hal Holbrook  Jason Robards  Jane Alexander;;All the President's Men;;301;All the President's Men  by Carl Bernstein  Bob Woodward;$70.6 million [ 1 ];;
1976  (49th);Bound for Glory;http://oscars.yipitdata.com/films/Bound_for_Glory_(film);Robert F. Blumofe, Harold Leventhal;United Artists;http://en.wikipedia.org/wiki/Bound_for_Glory_(film);False;;   December 5, 1976 ( 1976-12-05 )  (United States)       ;147 minutes;;Haskell Wexler;United States;Hal Ashby;United Artists;Pembroke J. Herring  Robert C. Jones;English;Leonard Rosenman (conductor and music adaptor)  George Brand Joan Biel Guthrie Thomas Ralph Ferraro;Robert F. Blumofe Harold Leventhal;Robert Getchell;David Carradine  Ronny Cox  Melinda Dillon  Gail Strickland;;Bound for Glory;;302;Bound for Glory 1943 book by Woody Guthrie;;;
1976  (49th);Network;http://oscars.yipitdata.com/films/Network_(film);Howard Gottfried;Metro-Goldwyn-Mayer, United Artists;http://en.wikipedia.org/wiki/Network_(film);False;;   November 27, 1976 ( 1976-11-27 )       ;121 minutes [ 1 ];$3.8 million;Owen Roizman;United States;Sidney Lumet;Metro-Goldwyn-Mayer (Through United Artists )  (USA & Canada)  United Artists  (International);Alan Heim;English;Elliot Lawrence;Howard Gottfried  Fred C. Caruso;;Faye Dunaway  William Holden  Peter Finch  Robert Duvall;;Network;Paddy Chayefsky;303;;$23,689,877 [ 2 ];Lee Richardson;
1976  (49th);Taxi Driver;http://oscars.yipitdata.com/films/Taxi_Driver;Michael Phillips , Julia Phillips;Columbia;http://en.wikipedia.org/wiki/Taxi_Driver;False;    Bill/Phillips  Italo/Judeo Productions    ;   February 8, 1976 ( 1976-02-08 )       ;113 minutes;$1.3 million;Michael Chapman;United States;Martin Scorsese;Columbia Pictures;   Tom Rolf  Melvin Shapiro   ;English;Bernard Herrmann;   Julia Phillips  Michael Phillips   ;;   Robert De Niro  Jodie Foster  Albert Brooks  Harvey Keitel  Leonard Harris  Peter Boyle  Cybill Shepherd   ;;Taxi Driver;Paul Schrader;304;;$28.3 million [ 1 ];;
1977  (50th);Annie Hall;http://oscars.yipitdata.com/films/Annie_Hall;Charles H. Joffe;United Artists;http://en.wikipedia.org/wiki/Annie_Hall;True;;   April 20, 1977 ( 1977-04-20 )       ;93 minutes;$4 million;Gordon Willis;United States;Woody Allen;United Artists;Ralph Rosenblum;English;;Charles H. Joffe;;   Woody Allen  Diane Keaton  Tony Roberts  Carol Kane  Paul Simon  Janet Margolin  Shelley Duvall  Christopher Walken  Colleen Dewhurst   ;;Annie Hall;   Woody Allen  Marshall Brickman   ;305;;$38,251,425 [ 1 ];;
1977  (50th);The Goodbye Girl;http://oscars.yipitdata.com/films/The_Goodbye_Girl;Ray Stark;Metro-Goldwyn-Mayer, Warner Bros.;http://en.wikipedia.org/wiki/The_Goodbye_Girl;False; Rastar ;   November 30, 1977 ( 1977-11-30 )       ;110 minutes;;David M. Walsh;United States;Herbert Ross;Warner Bros.  Metro-Goldwyn-Mayer;;English;Dave Grusin;Ray Stark;;Richard Dreyfuss  Marsha Mason  Quinn Cummings;;The Goodbye Girl;Neil Simon;306;;$102 million [ 1 ];;
1977  (50th);Julia;http://oscars.yipitdata.com/films/Julia_(1977_film);(Richard Roth);20th Century Fox;http://en.wikipedia.org/wiki/Julia_(1977_film);False;;   October 2, 1977 ( 1977-10-02 )       ;118 minutes;$7.84 million [ 1 ];Douglas Slocombe;United States;Fred Zinnemann;20th Century Fox;Walter Murch Marcel Durham;English;Georges Delerue;Richard Roth;Alvin Sargent;Jane Fonda  Vanessa Redgrave  Jason Robards  Hal Holbrook  Rosemary Murphy and  Maximilian Schell;;Julia;;307;Pentimento 1973 story Julia  by Lillian Hellman;$20,714,400 [ 2 ];;
1977  (50th);Star Wars;http://oscars.yipitdata.com/films/Star_Wars_(film);Gary Kurtz;Lucasfilm, 20th Century Fox;http://en.wikipedia.org/wiki/Star_Wars_(film);False; Lucasfilm Ltd ;   May 25, 1977 ( 1977-05-25 )       ;121 minutes [ 2 ];$11 million [ 3 ];Gilbert Taylor;United States;George Lucas;20th Century Fox 1;   Paul Hirsch  Marcia Lucas  Richard Chew   ;English;John Williams;Gary Kurtz;;   Mark Hamill  Harrison Ford  Carrie Fisher  Peter Cushing  Alec Guinness   ;;Star Wars;George Lucas;308;;$775.4 million [ 3 ];;
1977  (50th);The Turning Point;http://oscars.yipitdata.com/films/The_Turning_Point_(1977_film);Herbert Ross , Arthur Laurents;20th Century Fox;http://en.wikipedia.org/wiki/The_Turning_Point_(1977_film);False;;   November 14, 1977 ( 1977-11-14 )       ;119 minutes;;Robert Surtees;United States;Herbert Ross;20th Century Fox;William H. Reynolds;English;;Arthur Laurents  Herbert Ross  Nora Kaye;;Shirley MacLaine  Anne Bancroft  Tom Skerritt  Mikhail Baryshnikov  Leslie Browne;;The Turning Point;Arthur Laurents;309;;$33.6 million [ 1 ];;
1978  (51st);The Deer Hunter;http://oscars.yipitdata.com/films/The_Deer_Hunter;Barry Spikings , Michael Deeley , Michael Cimino , John Peverall;Universal, EMI;http://en.wikipedia.org/wiki/The_Deer_Hunter;True; EMI ;   December 8, 1978 ( 1978-12-08 )  ( Los Angeles )  February 23, 1979 ( 1979-02-23 )  (United States)  February 27, 1979 ( 1979-02-27 )  (United Kingdom)     ;183 minutes [ 1 ];$15 million [ 2 ];Vilmos Zsigmond;United States;Michael Cimino;Columbia - EMI - Warner  (UK)  Universal Pictures  (US);Peter Zinner;English Russian Vietnamese French;Stanley Myers;Barry Spikings  Michael Deeley Michael Cimino John Peverall;Deric Washburn;Robert De Niro  Christopher Walken  John Savage  John Cazale  Meryl Streep  George Dzundza;Michael Cimino Deric Washburn Louis Garfinkle  Quinn K. Redeker;The Deer Hunter;;310;;$49 million [ 3 ];;
1978  (51st);Coming Home;http://oscars.yipitdata.com/films/Coming_Home_(1978_film);Jerome Hellman;United Artists;http://en.wikipedia.org/wiki/Coming_Home_(1978_film);False;;   February 15, 1978 ( 1978-02-15 )       ;126 minutes;$3 million;Haskell Wexler;United States;Hal Ashby;United Artists;Don Zimmerman;English;;Jerome Hellman;Waldo Salt  Robert C. Jones;Jane Fonda  Jon Voight  Bruce Dern;Nancy Dowd;Coming Home;;311;;$32,653,905 [ 1 ];;
1978  (51st);Heaven Can Wait;http://oscars.yipitdata.com/films/Heaven_Can_Wait_(1978_film);Warren Beatty;Paramount;http://en.wikipedia.org/wiki/Heaven_Can_Wait_(1978_film);False;;   June 28, 1978 ( 1978-06-28 )       ;101 minutes;$15 million [ 1 ];William A. Fraker;United States;Warren Beatty  Buck Henry;Paramount Pictures;Robert C. Jones  Don Zimmerman;English;Dave Grusin;Warren Beatty;Warren Beatty  Elaine May  Robert Towne  Buck Henry;Warren Beatty  Julie Christie  James Mason  Jack Warden  Charles Grodin  Dyan Cannon;;Heaven Can Wait;;312;Play:  Harry Segall;$81,640,278 [ 2 ];;
1978  (51st);Midnight Express;http://oscars.yipitdata.com/films/Midnight_Express_(film);Alan Marshall , David Puttnam;Columbia;http://en.wikipedia.org/wiki/Midnight_Express_(film);False; Casablanca Filmworks ;   October 6, 1978 ( 1978-10-06 )       ;121 minutes;$2.3 million;Michael Seresin;United States United Kingdom;Alan Parker;Columbia Pictures;Gerry Hambling;English Turkish Maltese;Giorgio Moroder;Alan Marshall  David Puttnam;Oliver Stone;Brad Davis  Randy Quaid  John Hurt  Paul L. Smith  Irene Miracle;;Midnight Express;;313;Midnight Express  by Billy Hayes William Hoffer;$35 million [ 1 ];;
1978  (51st);An Unmarried Woman;http://oscars.yipitdata.com/films/An_Unmarried_Woman;Paul Mazursky , Tony Ray;20th Century Fox, Casablanca Filmworks;http://en.wikipedia.org/wiki/An_Unmarried_Woman;False;;   March 5, 1978 ( 1978-03-05 )       ;130 minutes;$2,515,000 [ 1 ];Arthur J. Ornitz;United States;Paul Mazursky;20th Century Fox;;English;Bill Conti;;;Jill Clayburgh  Alan Bates  Michael Murphy  Cliff Gorman;;An Unmarried Woman;Paul Mazursky;314;;$24,000,000 [ 2 ];;
1979  (52nd);Kramer vs. Kramer;http://oscars.yipitdata.com/films/Kramer_vs._Kramer;Stanley R. Jaffe;Columbia;http://en.wikipedia.org/wiki/Kramer_vs._Kramer;True;;   December 19, 1979 ( 1979-12-19 )       ;105 minutes;$8 million [ 1 ];Néstor Almendros;United States;Robert Benton;Columbia Pictures;Gerald B. Greenberg Ray Hubley  Bill Pankow;English;Paul Gemignani  Herb Harris  John Kander Erma E. Levin Roy B. Yokelson  Antonio Vivaldi;Richard Fischoff  Stanley R. Jaffe;Robert Benton;Dustin Hoffman  Meryl Streep  Justin Henry  Jane Alexander;;Kramer vs. Kramer;;315;Kramer vs. Kramer  by Avery Corman;$106,260,000 [ 2 ];;
1979  (52nd);All That Jazz;http://oscars.yipitdata.com/films/All_That_Jazz_(film);Robert Alan Aurthur;20th Century Fox, Columbia;http://en.wikipedia.org/wiki/All_That_Jazz_(film);False;;   December 20, 1979 ( 1979-12-20 )       ;123 minutes [ 1 ];$12 million [ 2 ];Giuseppe Rotunno;United States;Bob Fosse;20th Century Fox  Columbia Pictures;Alan Heim;English;Ralph Burns;Robert Alan Aurthur  Daniel Melnick Wolfgang Glattes  Kenneth Utt;;Roy Scheider  Jessica Lange  Leland Palmer  Ann Reinking;;All That Jazz;Robert Alan Aurthur Bob Fosse;316;;$37,823,676 [ 3 ];;
1979  (52nd);Apocalypse Now;http://oscars.yipitdata.com/films/Apocalypse_Now;Francis Ford Coppola , Fred Roos , Gray Frederickson, Tom Sternberg;United Artists, Zoetrope;http://en.wikipedia.org/wiki/Apocalypse_Now;False; Omni Zoetrope ;   May 10, 1979 ( 1979-05-10 )  ( Cannes )  August 15, 1979 ( 1979-08-15 )  (United States)      ;153 minutes [ 1 ];$31.5 million [ 2 ];Vittorio Storaro;United States;Francis Coppola;United Artists;   Richard Marks  Walter Murch  Gerald B. Greenberg  Lisa Fruchtman   ;;   Carmine Coppola  Francis Coppola   ;Francis Coppola;;   Martin Sheen  Marlon Brando  Robert Duvall  Frederic Forrest  Albert Hall  Sam Bottoms  Larry Fishburne  Dennis Hopper   ;;Apocalypse Now;   John Milius  Francis Coppola  Narration:  Michael Herr   ;317;;$150 million [ 3 ];;
1979  (52nd);Breaking Away;http://oscars.yipitdata.com/films/Breaking_Away;Peter Yates;20th Century Fox;http://en.wikipedia.org/wiki/Breaking_Away;False;;   July 13, 1979 ( 1979-07-13 )       ;101 minutes [ 1 ];$2.3 million [ 2 ];Matthew F. Leonetti;United States;Peter Yates;20th Century Fox;Cynthia Scheider;English;;Peter Yates;;Dennis Christopher  Dennis Quaid  Daniel Stern  Jackie Earle Haley;;Breaking Away;Steve Tesich;318;;$20 million [ 3 ];;
1979  (52nd);Norma Rae;http://oscars.yipitdata.com/films/Norma_Rae;Tamara Asseyev , Alex Rose;20th Century Fox;http://en.wikipedia.org/wiki/Norma_Rae;False;;   March 2, 1979 ( 1979-03-02 ) [ 1 ]       ;110 minutes;$4.5 million [ 2 ];John A. Alonzo;United States;Martin Ritt;20th Century Fox;Sidney Levin;English;David Shire;Tamara Asseyev Alex Rose;;Sally Field  Beau Bridges  Ron Leibman;;Norma Rae;Harriet Frank, Jr.  Irving Ravetch;319;;$22,228,000 [ 3 ];;
1980  (53rd);Ordinary People;http://oscars.yipitdata.com/films/Ordinary_People;Ronald L. Schwary;Paramount;http://en.wikipedia.org/wiki/Ordinary_People;True; Wildwood Enterprises ;   September 19, 1980 ( 1980-09-19 )       ;124 minutes;$6 million;John Bailey;United States;Robert Redford;Paramount Pictures;Jeff Kanew;English;Marvin Hamlisch;Ronald L. Schwary;Alvin Sargent;Donald Sutherland  Mary Tyler Moore  Judd Hirsch  Timothy Hutton;;Ordinary People;;320;Ordinary People  by Judith Guest;$54,766,923;;
1980  (53rd);Coal Miner's Daughter;http://oscars.yipitdata.com/films/Coal_Miner%2527s_Daughter_(film);Bernard Schwartz;Universal;http://en.wikipedia.org/wiki/Coal_Miner%27s_Daughter_(film);False;;   March 7, 1980 ( 1980-03-07 )       ;125 minutes;$15 million [ 1 ];Ralf D. Bode;United States;Michael Apted;Universal Pictures;Arthur Schmidt;English;Owen Bradley;Bernard Schwartz;Tom Rickman;Sissy Spacek  Tommy Lee Jones  Beverly D'Angelo  Levon Helm;;Coal Miner's Daughter;;321;Autobiography by Loretta Lynn  George Vecsey;$67,182,787;;
1980  (53rd);The Elephant Man;http://oscars.yipitdata.com/films/The_Elephant_Man_(film);Jonathan Sanger;Paramount, Brooksfilms;http://en.wikipedia.org/wiki/The_Elephant_Man_(film);False; Brooksfilms ;   October 3, 1980 ( 1980-10-03 )  ( New York [ 1 ] )  October 10, 1980 ( 1980-10-10 )  (US)      ;124 minutes;$5 million;Freddie Francis;United States;David Lynch;   Universal Pictures  (UK)  Paramount Pictures  (US)   ;Anne V. Coates;English;John Morris;Jonathan Sanger  Executive:    Stuart Cornfeld  Mel Brooks  (uncredited)   ;   Christopher DeVore  Eric Bergren  David Lynch   ;   Anthony Hopkins  John Hurt  Anne Bancroft  Sir John Gielgud  Wendy Hiller   ;;The Elephant Man;;322;The Elephant Man and Other Reminiscences by Frederick Treves and in part on The Elephant Man: A Study in Human Dignity by Ashley Montagu;$26 million [ 2 ];;
1980  (53rd);Raging Bull;http://oscars.yipitdata.com/films/Raging_Bull;Irwin Winkler , Robert Chartoff;United Artists;http://en.wikipedia.org/wiki/Raging_Bull;False;;   November 14, 1980 ( 1980-11-14 )  ( New York City )  December 19, 1980 ( 1980-12-19 )  (United States)      ;129 minutes [ 1 ];$18 million [ 2 ];Michael Chapman;United States;Martin Scorsese;United Artists;Thelma Schoonmaker;English;;   Irwin Winkler  Robert Chartoff   ;   Paul Schrader  Mardik Martin   ;Robert De Niro;;Raging Bull;;323;Raging Bull: My Story  by Jake La Motta Joseph Carter Peter Savage;$23.4 million (domestic) [ 2 ];;
