year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
1946  (19th);It's a Wonderful Life;http://oscars.yipitdata.com/films/It%2527s_a_Wonderful_Life;Frank Capra;RKO Radio;http://en.wikipedia.org/wiki/It%27s_a_Wonderful_Life;False; Liberty Films ;   December 20, 1946 ( 1946-12-20 )       ;130 minutes;$3.18 million [ N 1 ];Joseph Walker;United States;Frank Capra;RKO Radio Pictures;William Hornbeck;English;Dimitri Tiomkin;Frank Capra;   Frances Goodrich  Albert Hackett  Frank Capra   ;   James Stewart  Donna Reed  Lionel Barrymore  Thomas Mitchell  Henry Travers  Beulah Bondi  Ward Bond  Frank Faylen  Gloria Grahame   ;;It's a Wonderful Life;;152;""" The Greatest Gift "" by Philip Van Doren Stern";$3.3 million [ 2 ];;
1946  (19th);The Razor's Edge;http://oscars.yipitdata.com/films/The_Razor%2527s_Edge_(1946_film);Darryl F. Zanuck;20th Century Fox;http://en.wikipedia.org/wiki/The_Razor%27s_Edge_(1946_film);False;;December 1946 ( 1946-12 );145 minutes;$1.2 million;Arthur C. Miller;United States;Edmund Goulding;20th Century Fox;J. Watson Webb, Jr.;English;Alfred Newman Edmund Goulding (uncredited);Darryl F. Zanuck;;Tyrone Power  Gene Tierney  John Payne  Herbert Marshall  Anne Baxter  Clifton Webb;;The Razor's Edge;Lamar Trotti Darryl F. Zanuck (uncredited);153;The Razor's Edge 1944 novel by W. Somerset Maugham;$5 million (est. US/ Canada rentals) [ 1 ];;
1946  (19th);The Yearling;http://oscars.yipitdata.com/films/The_Yearling_(film);Sidney Franklin;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Yearling_(film);False;;   December 18, 1946 ( 1946-12-18 )       ;128 minutes;$3,883,000 [ 1 ] [ 2 ];Arthur E. Arling  Charles Rosher Leonard Smith;United States;Clarence Brown;Metro-Goldwyn-Mayer;Harold F. Kress;English;Herbert Stothart arrangement of Frederick Delius 's music;Sidney Franklin;Paul Osborn;Gregory Peck  Jane Wyman  Claude Jarman, Jr.;;The Yearling;;154;The Yearling 1938 novel by Marjorie Kinnan Rawlings;$7,599,000 [ 3 ];;
1947  (20th);Gentleman's Agreement;http://oscars.yipitdata.com/films/Gentleman%2527s_Agreement;Darryl F. Zanuck;20th Century Fox;http://en.wikipedia.org/wiki/Gentleman%27s_Agreement;True;;   November 11, 1947 ( 1947-11-11 )  (New York City)       ;118 min.;$1,985,000 [ 1 ];Arthur C. Miller;;Elia Kazan;Twentieth Century Fox;Harmon Jones;English;Alfred Newman;Darryl F. Zanuck;Moss Hart  Elia Kazan;Gregory Peck  Dorothy McGuire  John Garfield  Celeste Holm  June Havoc  Anne Revere;;Gentleman's Agreement;;155;Gentleman's Agreement 1947 novel by Laura Z. Hobson;$7,800,000 [ 2 ];;
1947  (20th);The Bishop's Wife;http://oscars.yipitdata.com/films/The_Bishop%2527s_Wife;Samuel Goldwyn;RKO Radio;http://en.wikipedia.org/wiki/The_Bishop%27s_Wife;False; Samuel Goldwyn Productions ;   December 9, 1947 ( 1947-12-09 )  (Premiere-New York City) [ 1 ]  February 16, 1948 ( 1948-02-16 )  (U.S.) [ 1 ]      ;109 minutes;;Gregg Toland;United States;Henry Koster;RKO Radio Pictures;Monica Collingwood;English;Hugo Friedhofer;Samuel Goldwyn;Leonardo Bercovici  Robert E. Sherwood  Billy Wilder  (uncredited)  Charles Brackett  (uncredited);Cary Grant  Loretta Young  David Niven;;The Bishop's Wife;;156;The Bishop's Wife  by Robert Nathan;;;
1947  (20th);Crossfire;http://oscars.yipitdata.com/films/Crossfire_(film);Adrian Scott;RKO Radio;http://en.wikipedia.org/wiki/Crossfire_(film);False; RKO Radio Pictures ;   July 22, 1947 ( 1947-07-22 )  ( Premiere-New York City ) [ 1 ]  August 15, 1947 ( 1947-08-15 )  (U.S. ) [ 1 ]      ;86 minutes;$678,000 [ 2 ];J. Roy Hunt;United States;Edward Dmytryk;RKO Radio Pictures;Harry Gerstad;English;Roy Webb;Adrian Scott;John Paxton;Robert Young  Robert Mitchum  Robert Ryan  Gloria Grahame;;Crossfire;;157;the novel, The Brick Foxhole  by Richard Brooks;;;
1947  (20th);Great Expectations;http://oscars.yipitdata.com/films/Great_Expectations_(1946_film);Ronald Neame;Cineguild;http://en.wikipedia.org/wiki/Great_Expectations_(1946_film);False;;   26 December 1946 ( 1946-12-26 )       ;113 minutes;₤375,000 [ 2 ];Guy Green , ( Robert Krasker shot opening sequence) [ 1 ];United Kingdom;David Lean;General Film Distributors (GFD) Ltd. (UK)  Universal-International (US);Jack Harris;English;Walter Goehr;Anthony Havelock-Allan  Ronald Neame;;John Mills  Anthony Wager  Jean Simmons  Valerie Hobson  Alec Guinness  Martita Hunt  Finlay Currie;;Great Expectations;David Lean  Anthony Havelock-Allan  Cecil McGivern  Ronald Neame  Kay Walsh;158;Great Expectations  by Charles Dickens;;;
1947  (20th);Miracle on 34th Street;http://oscars.yipitdata.com/films/Miracle_on_34th_Street;William Perlberg;20th Century Fox;http://en.wikipedia.org/wiki/Miracle_on_34th_Street;False;;   May 2, 1947 ( 1947-05-02 )  (USA)  December 18, 1947 ( 1947-12-18 )  ( AUS )      ;96 minutes;$630,000;Lloyd Ahern Charles G. Clarke;United States;George Seaton;20th Century Fox;Robert L. Simpson;English;Cyril J. Mockridge;William Perlberg;George Seaton;Maureen O'Hara  John Payne  Natalie Wood  Edmund Gwenn  Porter Hall  Gene Lockhart;Valentine Davies;Miracle on 34th Street;;159;;$3,150,000;;
1948  (21st);Hamlet;http://oscars.yipitdata.com/films/Hamlet_(1948_film);Laurence Olivier;Two Cities Films;http://en.wikipedia.org/wiki/Hamlet_(1948_film);True; Two Cities ;   4 May 1948 ( 1948-05-04 )       ;155 minutes;£527,530 [ 1 ];Desmond Dickinson;United Kingdom;Laurence Olivier;Rank Film Distributors Ltd. (UK)  Universal-International (US);Helga Cranston;English;William Walton;Laurence Olivier;Laurence Olivier;Laurence Olivier  Basil Sydney  Eileen Herlie  Jean Simmons  Stanley Holloway;;Hamlet;;160;Hamlet  by William Shakespeare;$3,250,000 [ 2 ];;
1948  (21st);Johnny Belinda;http://oscars.yipitdata.com/films/Johnny_Belinda_(1948_film);Jerry Wald;Warner Bros.;http://en.wikipedia.org/wiki/Johnny_Belinda_(1948_film);False;;   September 14, 1948 ( 1948-09-14 )       ;102 minutes;;Ted McCord;United States;Jean Negulesco;Warner Bros.;David Weisbart;English;Max Steiner;Jerry Wald;Allen Vincent  Irma von Cube;Jane Wyman  Lew Ayres  Charles Bickford  Agnes Moorehead;;Johnny Belinda;;161;Johnny Belinda 1940 play by Elmer Blaney Harris;$4.1 million (US/ Canada rentals) [ 1 ];;
1948  (21st);The Red Shoes;http://oscars.yipitdata.com/films/The_Red_Shoes_(1948_film);Michael Powell , Emeric Pressburger;Independent Producers, The Archers;http://en.wikipedia.org/wiki/The_Red_Shoes_(1948_film);False;;6 September 1948 ( 1948-09-06 )  (UK) 22 October (US);133 minutes;£ 505,581 [ 1 ];Jack Cardiff;United Kingdom;Michael Powell  Emeric Pressburger;General Film Distributors  Eagle-Lion Films  J. Arthur Rank Film Distributors (West Germany);Reginald Mills;English French;Brian Easdale;Michael Powell Emeric Pressburger;;Moira Shearer  Anton Walbrook  Marius Goring;;The Red Shoes;Michael Powell Emeric Pressburger Keith Winter  (add'l dialogue);162;The Red Shoes by  Hans Christian Andersen;$5 million (est. US/ Canada rentals) [ 2 ] [ 3 ];;
1948  (21st);The Snake Pit;http://oscars.yipitdata.com/films/The_Snake_Pit;Anatole Litvak , Robert Bassler;20th Century Fox;http://en.wikipedia.org/wiki/The_Snake_Pit;False;;November 4, 1948;108 minutes;;Leo Tover;United States;Anatole Litvak;20th Century Fox;Dorothy Spencer;English;Alfred Newman;Robert Bassler Anatole Litvak  Darryl F. Zanuck;Millen Brand  Arthur Laurents (uncredited)  Frank Partos;Olivia de Havilland  Mark Stevens  Leo Genn  Celeste Holm;;The Snake Pit;;163;The Snake Pit  by Mary Jane Ward;$4.1 million (US/Canada rentals) [ 1 ];;
1948  (21st);The Treasure of the Sierra Madre;http://oscars.yipitdata.com/films/The_Treasure_of_the_Sierra_Madre_(film);Henry Blanke;Warner Bros.;http://en.wikipedia.org/wiki/The_Treasure_of_the_Sierra_Madre_(film);False; Warner Bros.-First National Picture ;   January 6, 1948 ( 1948-01-06 )       ;126 minutes;$3 million [ 1 ];Ted D. McCord;United States;John Huston;Warner Bros.;Owen Marks;English;Max Steiner;Henry Blanke;John Huston;Humphrey Bogart  Walter Huston  Tim Holt  Bruce Bennett;;The Treasure of the Sierra Madre;;164;The Treasure of the Sierra Madre  by B. Traven;$4,307,000 (rentals);;
